,Name,Degree,Betweenness Centrality,Eigenvector Centrality
0,King,21,0.22005924624649184,0.3490658783665117
1,Suffolk,18,0.2379469894395268,0.2738148056313592
2,Queen,17,0.08034273317516198,0.32039942784458164
3,York,19,0.19812235229467262,0.3253797746618937
4,Gloucester,20,0.18875144027789903,0.29972201181159663
5,Cardinal,11,0.02092900942968786,0.24326340280277453
6,Salisbury,11,0.023914363313956265,0.24330253806305202
7,Warwick,9,0.006087079662384953,0.22620905793245372
8,Buckingham,14,0.15802547997256275,0.26494266902021096
9,Somerset,8,0.0054532946323991105,0.20458610135549726
10,Duchess,9,0.05960801221995253,0.16280916362355585
11,1Messenger,1,0.0,0.028436587286877552
12,Hume,2,0.0,0.02006386224014781
13,1Petitioner,3,0.0,0.06404409606148077
14,2Petitioner,4,0.0004615616555915064,0.08081215655929785
15,Peter,9,0.040273822363374595,0.19350373870945628
16,Horner,7,0.05720755198367141,0.12734979010813008
17,Bolingbroke,4,0.06034976631991555,0.048663456933754845
18,Spirit,2,0.028946178199909543,0.00465896968965004
19,Witch,1,0.0,0.00044202705563345477
20,Townsman,3,0.0,0.08753350113477566
21,Simpcox,7,0.0077576928323196985,0.1538317660381514
22,Wife,4,0.0,0.09209013775894057
23,Mayor,1,0.0,0.028436587286877552
24,Beadle,2,0.0,0.043031584376650264
25,1Neighbour,2,0.024634403738881348,0.03126474137647153
26,2Neighbour,2,0.0004522840343735866,0.004150001855653446
27,3Neighbour,2,0.003859490426654605,0.012476271832632018
28,1Prentice,2,0.0006784260515603799,0.013949927632612297
29,2Prentice,2,0.0021364207931372104,0.01968246622607877
30,Servant,1,0.0,0.028436587286877552
31,Herald,1,0.0,0.028436587286877552
32,Sheriff,2,0.0,0.04388341763675708
33,Stanley,2,0.0,0.04388341763675708
34,Post,2,0.0,0.053951024960625864
35,1Murderer,2,0.028946178199909543,0.02621449653182324
36,2Murderer,1,0.0,0.002487117350790876
37,Commons,3,0.0,0.08218065615015008
38,Vaux,1,0.0,0.03039843127582123
39,1Gentleman,5,0.04236393788632595,0.033101108160718935
40,Lieutenant,4,0.028116990803557968,0.032555216138085666
41,Master,2,0.0003769033619779888,0.003464692739967011
42,Mate,2,0.0002261420171867933,0.0034173907291800056
43,2Gentleman,2,0.0,0.006252464013313664
44,Whitmore,4,0.013945424393185584,0.032800883783538674
45,Bevis,2,0.0011251098768059419,0.007944803142188749
46,Holland,4,0.0022538821046283733,0.008388448858207415
47,Cade,13,0.16016702404083677,0.056171915958282345
48,Dick,5,0.003260320763712894,0.015379250363061666
49,Smith,4,0.0005653550429669833,0.008904847060014657
50,Rebels,8,0.0692030763095892,0.06831024799751283
51,Clerk,3,0.00044286145032413694,0.01327086055368628
52,Michael,1,0.0,0.005329979063782091
53,Stafford,4,0.001905838269474633,0.013902574131880618
54,Brother,3,0.0,0.013130717111168679
55,Saye,7,0.058364698646245466,0.07534353735740924
56,2Messenger,1,0.0,0.03311838119924325
57,3Messenger,2,0.0,0.03228582226509663
58,1Citizen,1,0.0,2.1944080663413792e-14
59,Scales,1,0.0,2.1944080663413792e-14
60,Soldier,1,0.0,0.005329979063782091
61,4Messenger,1,0.0,0.005329979063782091
62,LordClifford,8,0.030384250906638967,0.1594826721263221
63,5Messenger,2,0.0,0.03959981238099777
64,Iden,4,0.022189778787472133,0.09445649443537446
65,Edward,1,0.0,0.03087100422699041
66,YoungClifford,2,0.0,0.024793280410595794
67,Richard,5,0.008853004375392435,0.1018368295723327
